מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",רמת-השרון,מול  דב הוז 1,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",רמת-השרון,מול יצחק שדה 30,,2011,2014,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,תעשיה,,,כן,,,,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,SGS,הסוללים 5,2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,בינוני ,סקר גז קרקע,מוסך,,,כן,,,,מיגון לאחר בדיקה
"ת""א",תל-אביב,SGS,הסוללים 5,2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,בינוני ,סקר גז קרקע,מוסך,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,א.צ.ע שרות הדברה,בלפור 61,2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,,,,כן,,,,
"ת""א",תל-אביב,אביב בלבונטין - מקווה ישראל הרכבת,"הרכבת 12, לבונטין 30, מקווה ישראל 17",2011,2014,יש זיהום ,לא נבדק ואין זיהום,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,אברבנל 90 - תחנת מעבר,אברבנל 90  ,2011,2014,לא נבדק ויש פוטנציאל ,יש זיהום,בינוני,סקר גז קרקע,תעשיה,כן,כן,כן,כן,לא,לא,טרם נבדק
"ת""א",חולון,אגד הבנאי - תחנת תדלוק,הבנאי 1 בתוך מתחם אגד,2011,2014,יש זיהום ,לא נבדק ויש פוטנציאל,בינוני ,סקר גז קרקע,תעשיה,,,כן,,,,טרם נבדק
"ת""א",חולון,אגד החופר,החופר 11-15,2011,2014,לא נבדק ויש פוטנציאל,יש זיהום,בינוני ,סקר גז קרקע,מוסך,,,כן,,,,מיגון לאחר בדיקה
"ת""א",חולון,אודי עמיר מנופים - הכישור 16,הכישור 16,2011,2014,לא נבדק ויש פוטנציאל,יש זיהום,בינוני ,סקר גז קרקע,מוסך,לא,כן,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,"אוניברסיטת ת""א - בית הספר פורטר ללימודי סביבה",ג'ורג' וייז פינת קלויזנר,2010,2010,לא נבדק ואין זיהום,היה זיהום בעבר ששוקם,קל,שיקום ,אחר,לא,כן,לא,לא,לא,לא,אין צורך במיגון
"ת""א",תל-אביב,איילת 48,איילת 48,2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,,,,כן,,,,
"ת""א",תל-אביב,איסרליש 20,איסרליש 20,2006,2009,לא נבדק ויש פוטנציאל,היה זיהום בעבר ששוקם,קל,שיקום ,מוסך,לא,כן,כן,כן,לא,לא,מיגון על פי חובה בתשריט
"ת""א",חולון,אלביט (לשעבר תדיראן קשר),השופטים 26,2011,2014,יש זיהום ,יש זיהום,כבד,סקר גז קרקע,תעשיה,כן,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,אלעזר בן עזריה 20 \ בן גמליאל 3,אליעזר בן עזריה 20 \ בן גמליאל 3,2011,2014,לא נבדק ויש פוטנציאל,היה זיהום בעבר ששוקם,בינוני,שיקום ,תעשיה,כן,לא,כן,לא,לא,לא,טרם נבדק
"ת""א",תל-אביב,אלפסי 14 בניין משרדים,אלפסי 14 בניין משרדים,2011,2014,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,תעשיה,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,אספרגוס 28,אספרגוס 28,2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,אין זיהום ,פוטנציאל זיהום,אחר,לא,לא,כן,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,אספרגוס 33,אספרגוס 33 (גוש 6150 חלקה 357),2011,2014,לא נבדק ויש פוטנציאל,לא נבדק ויש פוטנציאל,אין זיהום ,סקר גז קרקע,,,,כן,,,,
